patay;mamatay;namatay;namamatay;mamamatay;to die
tuto;matuto;natuto;natututo;matututo;to learn (on your own)
dinig;marinig;narinig;naririnig;maririnig;to hear something
kinig;makiníg;nakinig;nakikinig;makikinig;to listen
kita;makita;nakita;nakikita;makikita;to see something
nood;manood;nanood;nanonood;manonood;to watch something
tunaw;matunaw;natunaw;natutunaw;matutunaw;to melt
tulog;matulog;natulog;natutulog;matutulog;to sleep
panalo;manalo;nanalo;nananalo;mananalo;to win
linis;malinis;nalinis;nalilinis;malilinis;to be able to clean
hulog;mahulog;nahulog;nahuhulog;mahuhulog;to fall
dagdag;madagdag;nadagdag;nadadagdag;madadagdag;to be added
