laba;maglaba;naglaba;naglalaba;maglalaba
laro;maglaro;naglaro;naglalaro;maglalaro
linis;maglinis;naglinis;naglilinis;maglilinis
alala;magalala;nagalala;nagaalala;magaalala
trabaho;magtrabaho;nagtrabaho;nagtatrabaho;magtatrabaho
salita;magsalita;nagsalita;nagsasalita;magsasalita
usap;mag-usap;nag-usap;nag-uusap;mag-uusap
isip;mag-isip;nag-isip;nag-iisip;mag-iisip
aral;mag-aral;nag-aral;nag-aaral;mag-aaral
away;mag-away;nag-away;nag-aaway;mag-aaway
abot;mag-abot;nag-abot;nag-aabot;mag-aabot
luto;magluto;nagluto;nagluluto;magluluto
bihis;magbihis;nagbihis;nagbibihis;magbibihis
basa;magbasa;nagbasa;nagbabasa;magbabasa
inom;mag-inom;nag-inom;nag-iinom;mag-iinom
sulat;magsulat;nagsulat;nagsusulat;magsusulat
sipilyo;magsipilyo;nagsipilyo;nagsisipilyo;magsisipilyo
kita;magkita;nagkita;nagkikita;magkikita
suot;magsuot;nagsuot;nagsusuot;magsusuot
suklay;magsuklay;nagsuklay;nagsusuklay;magsusuklay
lakad;maglakad;naglakad;nalalakad;maglalakad
maneho;magmaneho;nagmaneho;nagmamaheno;magmamaneho
bayad;magbayad;nagbayad;nagbabayad;magbabayad
benta;magbenta;nagbenta;nagbebenta;magbebenta
hukay;maghukay;naghukay;naghuhukay;maghuhukay
dasal;magdasal;nagdasal;nagdadasal;magdadasal
sara;magsara;nagsara;nagsasara;magsasara
turo;magturo;nagturo;nagtuturo;magtuturo
dala;magdala;nagdala;nagdadala;magdadala
