maglarô;play (in general)
laruín;play (with something)
maglakád;walk
tumakbó;run
magmaneho;drive
lumipád;fly
lumangóy;swim
pumuntá;go
tumigil;stop
sumunód;follow
isipin;think
magsalitâ;speak/say
kumain;eat
inumin;drink
patayín;kill
mamatáy;die
ngumitî;smile
tumawa;laugh
umiyák;cry
bilhín;buy (focus on object)
bumilí;buy (focus on actor)
magbayad;pay
magbenta;sell
bumaríl;shoot (a gun)
matuto;learn (autodidact)
mag-aral;learn (in a class)
tumalón;jump
amuyín;smell
mariníg;hear (a sound)
makiníg;listen (music)
tikmán;taste
humipò;touch
makita;see (a bird)
manoód;watch (TV)
halikán;kiss
sumunog;burn
matunaw;melt
maghukáy;dig
pumutók;explode
umupô;sit
tumayô;stand
mahalín;love
daanan;pass by
hiwain;cut
mag-away;fight
humigâ;lie down
sumayáw;dance
matulog;sleep
gumising;wake up
kumantá;sing
bumilang;count
magpakasál;marry
magdasál;pray
manalo;win
mawalán;lose
haluin;mix/stir
iyukô;bend
hugasan;wash
maglutò;cook
buksán;open
magsarà;close
sumulat;write
tawagin;call
lumikô;turn
gumawâ;build
magturò;teach
lumakí;grow
gumuhit;draw
pakainin;feed
hulihin;catch
batuhín;throw
malinis;clean
hanapin;find
mahulog;fall
itulak;push
hilahin;pull
magdalá;carry
sumirà;break
magsuót;wear
ibitin;hang
umugâ;shake
tandâ;sign
pumalò;beat
iangát;lift
